mode,t,f,best_f,x_norm
quadratic_benchmark,1,-24.32000000000001,-24.32000000000001,1.6000000000000005
quadratic_benchmark,2,-44.019200000000026,-44.019200000000026,3.0400000000000005
quadratic_benchmark,3,-59.975552,-59.975552,4.336
quadratic_benchmark,4,-72.90019711999996,-72.90019711999996,5.5024
quadratic_benchmark,5,-83.3691596672001,-83.3691596672001,6.55216
quadratic_benchmark,6,-91.84901933043207,-91.84901933043207,7.496944000000004
quadratic_benchmark,8,17.0,8,9,5.408168108503634e+16,0.0,32888198.05715171,5.408168108503637e+16,29.394296682075293,32888198.821168777
quadratic_benchmark,9,19.0,9,10,4.3806161678734653e+18,0.0,295993790.15404683,4.3806161678734653e+18,29.394296682075293,295993789.3900298
quadratic_benchmark,10,21.0,10,11,3.548299095974753e+20,0.0,2663944103.745217,3.548299095974753e+20,29.394296682075293,2663944104.5092344
quadratic_benchmark,11,23.0,11,12,2.8741222677392e+22,0.0,23975496941.345665,2.8741222677392e+22,29.394296682075293,23975496940.581646
quadratic_benchmark,12,25.0,12,13,2.328039036868753e+24,0.0,215779472464.47086,2.328039036868753e+24,29.394296682075293,215779472465.2349
quadratic_benchmark,1,3.0,1,2,2328.6062748034906,0.0,7.631346532331268,2358.000571485566,29.394296682075293,6.89152611495539
quadratic_benchmark,2,5.0,2,3,190994.6157167912,0.0,61.04614085150284,191024.01001347325,29.394296682075293,61.81221790495177
quadratic_benchmark,3,7.0,3,4,15473537.450830644,0.0,557.0655006197762,15473566.845127326,29.394296682075293,556.3016765799349
quadratic_benchmark,4,9.0,4,5,1253359207.710416,0.0,5005.949976603623,1253359237.1047127,29.394296682075293,5006.713984151611
quadratic_benchmark,5,11.0,5,6,101522141113.79143,0.0,45061.1992225989,101522141143.18573,29.394296682075293,45060.43522877896
quadratic_benchmark,6,13.0,6,7,8223293474875.324,0.0,405543.1540933778,8223293474904.719,29.394296682075293,405543.9180880534
quadratic_benchmark,7,15.0,7,8,666086771999876.2,0.0,3649896.0282451455,666086771999905.6,29.394296682075293,3649895.2642504973
quadratic_benchmark,8,17.0,8,9,5.39530285363563e+16,0.0,32849056.61558821,5.395302853635634e+16,29.394296682075293,32849057.379582856
quadratic_benchmark,9,19.0,9,10,4.370195311328904e+18,0.0,295641517.17631805,4.370195311328904e+18,29.394296682075293,295641516.4123234
quadratic_benchmark,10,21.0,10,11,3.539858202189065e+20,0.0,2660773646.951671,3.539858202189065e+20,29.394296682075293,2660773647.715666
quadratic_benchmark,11,23.0,11,12,2.86728514377311e+22,0.0,23946962830.20485,2.86728514377311e+22,29.394296682075293,23946962829.440853
quadratic_benchmark,12,25.0,12,13,2.3225009664564252e+24,0.0,215522665464.21326,2.3225009664564252e+24,29.394296682075293,215522665464.97726
quadratic_benchmark,1,3.0,1,2,2333.654854260583,0.0,7.6380679136181495,2363.0491509426583,29.394296682075293,6.8989098428208715
quadratic_benchmark,2,5.0,2,3,191194.10611829112,0.0,61.07917494788985,191223.50041497318,29.394296682075293,61.84451139840133
quadratic_benchmark,3,7.0,3,4,15490605.924018215,0.0,557.3714870472198,15490635.318314897,29.394296682075293,556.6084168076112
quadratic_benchmark,4,9.0,4,5,1254757922.6166713,0.0,5008.743628289987,1254757952.010968,29.394296682075293,5009.50688397558
quadratic_benchmark,5,11.0,5,6,101635402688.44499,0.0,45086.326945942084,101635402717.8393,29.394296682075293,45085.563703949745
quadratic_benchmark,6,13.0,6,7,8232466060253.021,0.0,405769.2716362532,8232466060282.416,29.394296682075293,405770.0348790743
quadratic_benchmark,7,15.0,7,8,666829739958426.1,0.0,3651931.0472390885,666829739958455.5,29.394296682075293,3651930.2839962873
quadratic_benchmark,8,17.0,8,9,5.40132088278581e+16,0.0,32867371.759628005,5.401320882785813e+16,29.394296682075293,32867372.5228708
quadratic_benchmark,9,19.0,9,10,4.3750699152574884e+18,0.0,295806353.47587436,4.3750699152574884e+18,29.394296682075293,295806352.7126315
quadratic_benchmark,10,21.0,10,11,3.543806631342748e+20,0.0,2662257173.6444993,3.543806631342748e+20,29.394296682075293,2662257174.407742
quadratic_benchmark,11,23.0,11,12,2.8704833713898506e+22,0.0,23960314570.442207,2.8704833713898506e+22,29.394296682075293,23960314569.678963
quadratic_benchmark,12,25.0,12,13,2.3250915308264383e+24,0.0,215642831126.378,2.3250915308264383e+24,29.394296682075293,215642831127.14127
quadratic_benchmark,1,3.0,1,2,2599.0815041021583,0.0,7.995968727570862,2628.475800784234,29.394296682075293,7.275247840677738
